0138 Tyresö,Vänsterpartiet,1213,1218,1453,1479,1356,1483,1026,1296,2057,1612,1176,1033
0138 Tyresö,Sverigedemokraterna,..,..,..,..,..,..,..,..,102,231,363,1065
0139 Upplands-Bro,Moderaterna,968,1435,2124,2940,2765,2400,3200,3082,2995,2054,3860,4870
0139 Upplands-Bro,Centerpartiet,1633,1701,1333,1078,698,727,481,448,243,320,532,581
0139 Upplands-Bro,Folkpartiet,589,1019,1083,531,1695,1610,1109,847,498,1760,930,1144
0139 Upplands-Bro,Kristdemokraterna,64,52,131,189,..,258,715,544,1385,1239,1012,972
0139 Upplands-Bro,Miljöpartiet,..,..,..,224,218,564,336,457,440,436,609,943
0139 Upplands-Bro,Socialdemokraterna,2982,3584,4314,4998,5164,4664,4015,5100,4018,4487,3925,3852
0139 Upplands-Bro,Vänsterpartiet,511,506,698,696,670,725,468,655,1231,899,684,621
0139 Upplands-Bro,Sverigedemokraterna,..,..,..,..,..,..,..,..,36,87,320,723
0140 Nykvarn,Moderaterna,..,..,..,..,..,..,..,..,1142,803,1697,2353
0140 Nykvarn,Centerpartiet,..,..,..,..,..,..,..,..,183,220,350,287
0140 Nykvarn,Folkpartiet,..,..,..,..,..,..,..,..,238,641,351,392
0140 Nykvarn,Kristdemokraterna,..,..,..,..,..,..,..,..,365,374,286,284
0140 Nykvarn,Miljöpartiet,..,..,..,..,..,..,..,..,176,192,203,347
0140 Nykvarn,Socialdemokraterna,..,..,..,..,..,..,..,..,1851,1961,1597,1348
0140 Nykvarn,Vänsterpartiet,..,..,..,..,..,..,..,..,345,237,139,143
0140 Nykvarn,Sverigedemokraterna,..,..,..,..,..,..,..,..,38,85,140,410
0160 Täby,Moderaterna,6781,8067,11284,14649,14413,13971,16218,17529,18663,13275,20913,20898
0160 Täby,Centerpartiet,4921,5025,3830,3071,1542,1824,1136,1328,626,751,2011,3221
0160 Täby,Folkpartiet,2609,3719,3591,1910,7272,6940,5369,5010,3278,9557,4359,4711
0160 Täby,Kristdemokraterna,173,132,137,208,..,564,1878,1553,4797,3647,2909,3599
0160 Täby,Miljöpartiet,..,..,..,787,576,1929,1404,1579,1130,1369,1469,2141
0160 Täby,Socialdemokraterna,6646,7229,7506,8367,8887,7860,6504,8468,6811,7368,5379,4421
0160 Täby,Vänsterpartiet,1291,1277,1476,1357,1204,1291,706,1042,1602,1285,810,794
0160 Täby,Sverigedemokraterna,..,..,..,..,..,..,..,..,51,352,411,958
0162 Danderyd,Moderaterna,8391,8770,10032,11583,10965,10222,10169,10985,11413,8644,11744,10740
0162 Danderyd,Centerpartiet,2833,2857,1921,1505,688,771,483,652,338,359,1242,2297
0162 Danderyd,Folkpartiet,2107,2624,2481,1347,4024,3520,2511,2272,1674,4733,2089,2075
0162 Danderyd,Kristdemokraterna,126,63,84,141,..,304,1020,1119,2598,2047,1848,2744
0162 Danderyd,Miljöpartiet,..,..,..,404,307,1040,667,614,495,612,594,798
0162 Danderyd,Socialdemokraterna,3578,3305,3266,3416,3266,2861,2294,2687,2027,2145,1541,1195
0162 Danderyd,Vänsterpartiet,725,624,715,571,492,471,284,336,503,396,230,250
0162 Danderyd,Sverigedemokraterna,..,..,..,..,..,..,..,..,21,92,134,347
0163 Sollentuna,Moderaterna,5322,6834,8934,10741,10145,8950,10531,11459,12160,8479,14841,16507
0163 Sollentuna,Centerpartiet,5657,5469,3844,2987,1690,1747,1125,1245,742,876,2152,2722
0163 Sollentuna,Folkpartiet,2670,4096,3643,1988,5903,5499,4402,3891,2528,7442,3917,3831
0163 Sollentuna,Kristdemokraterna,355,285,331,448,..,800,2137,1461,4213,3429,2749,2991
0163 Sollentuna,Miljöpartiet,..,..,..,836,552,1992,1493,1674,1455,1608,1883,2845
0163 Sollentuna,Socialdemokraterna,8509,9118,9369,10286,10309,9393,8172,10542,8732,10103,7867,6952
0163 Sollentuna,Vänsterpartiet,1560,1743,2079,1795,1612,1731,1126,1454,2468,2046,1478,1504
0163 Sollentuna,Sverigedemokraterna,..,..,..,..,..,..,..,..,171,346,484,1235
0180 Stockholm,Moderaterna,109549,116787,132224,152817,136899,119567,133141,140982,147599,96205,169211,183421
0180 Stockholm,Centerpartiet,69687,62543,40676,33062,16745,18195,12656,13996,7493,8109,27257,33895
0180 Stockholm,Folkpartiet,52728,62680,53261,26721,71639,62511,49510,44707,33027,89510,48476,45939
0180 Stockholm,Kristdemokraterna,4627,3642,3483,4371,..,7834,21233,13303,39100,30228,24327,28244
0180 Stockholm,Miljöpartiet,..,..,..,10021,7870,29894,22979,25595,24362,31027,45030,65351
0180 Stockholm,Socialdemokraterna,184758,179710,171474,178565,172352,145524,129108,152722,119270,143640,111765,111688
0180 Stockholm,Vänsterpartiet,43196,41542,47513,45737,43384,44339,30956,36768,56663,49795,35616,39565
0180 Stockholm,Sverigedemokraterna,..,..,..,..,..,..,..,..,1599,4706,7912,16950
0181 Södertälje,Moderaterna,5901,6958,8715,10911,9719,8161,10348,10534,8875,5921,11505,13405
0181 Södertälje,Centerpartiet,9804,9715,6502,5200,3270,3449,2401,2065,1343,1377,2304,1766
0181 Södertälje,Folkpartiet,3436,4579,4424,2195,7196,6229,4332,3266,1535,5289,3067,2804
0181 Södertälje,Kristdemokraterna,656,454,523,603,..,814,2257,1414,4045,3962,3109,2454
